date,line,type
18-Mar-21,1,Other
19-Mar-21,1,Other
20-Mar-21,1,Other
21-Mar-21,1,Other
22-Mar-21,1,Other
23-Mar-21,1,Other
24-Mar-21,1,Other
29-Mar-21,1,Early closure
30-Mar-21,1,Early closure
31-Mar-21,1,Early closure
01-Apr-21,1,Early closure
05-Apr-21,1,Early closure
06-Apr-21,1,Early closure
07-Apr-21,1,Early closure
08-Apr-21,1,Early closure
10-Apr-21,1,Weekend
11-Apr-21,1,Weekend
12-Apr-21,1,Other
13-Apr-21,1,Other
14-Apr-21,1,Other
15-Apr-21,1,Other
16-Apr-21,1,Other
17-Apr-21,1,Other
18-Apr-21,1,Other
19-Apr-21,1,Other
19-Apr-21,1,Early closure
20-Apr-21,1,Other
20-Apr-21,1,Early closure
21-Apr-21,1,Other
21-Apr-21,1,Early closure
22-Apr-21,1,Early closure
24-Apr-21,1,Weekend
25-Apr-21,1,Weekend
25-Apr-21,2,One day
26-Apr-21,1,Other
27-Apr-21,1,Other
28-Apr-21,1,Other
29-Apr-21,1,Other
30-Apr-21,1,Other
01-May-21,1,Other
02-May-21,1,Other
03-May-21,1,Other
04-May-21,1,Other
05-May-21,1,Other
06-May-21,1,Other
08-May-21,1,Weekend
09-May-21,1,Weekend
09-May-21,2,One day
10-May-21,1,Early closure
11-May-21,1,Early closure
12-May-21,1,Early closure
13-May-21,1,Early closure
15-May-21,1,Weekend
16-May-21,1,Weekend
16-May-21,2,One day
26-May-21,1,Early closure
27-May-21,1,Early closure
28-May-21,1,Early closure
29-May-21,1,Weekend
30-May-21,1,Weekend
31-May-21,1,Early closure
01-Jun-21,1,Early closure
02-Jun-21,1,Early closure
03-Jun-21,1,Early closure
06-Jun-21,2,One day
07-Jun-21,1,Early closure
08-Jun-21,1,Early closure
09-Jun-21,1,Early closure
10-Jun-21,1,Early closure
12-Jun-21,1,Weekend
13-Jun-21,1,Weekend
14-Jun-21,2,Early closure
15-Jun-21,2,Early closure
16-Jun-21,2,Early closure
17-Jun-21,2,Early closure
18-Jun-21,1,Early closure
19-Jun-21,1,Weekend
20-Jun-21,1,Weekend
20-Jun-21,2,Late opening
21-Jun-21,1,Early closure
22-Jun-21,1,Early closure
23-Jun-21,1,Early closure
24-Jun-21,1,Early closure
25-Jun-21,2,Early closure
26-Jun-21,2,Weekend
27-Jun-21,2,Weekend
28-Jun-21,1,Early closure
29-Jun-21,1,Early closure
30-Jun-21,1,Early closure
